[256] ['1', '11', '25', '25', '26'] -> ((26 / ((25 / 25) + 1)) + 11)
[257] ['1', '11', '26', '27', '27'] -> ((26 / ((27 / 27) + 1)) + 11)
[261] ['1', '13', '13', '16', '26'] -> (16 / (1 - (13 / (13 + 26))))
[263] ['1', '13', '13', '19', '28'] -> (28 / ((13 / (19 - 13)) - 1))
[264] ['1', '13', '13', '19', '29'] -> ((19 + 29) / ((13 / 13) + 1))
[266] ['1', '14', '16', '21', '30'] -> (((1 / 14) + (30 / 21)) * 16)
[268] ['1', '14', '14', '15', '28'] -> ((15 / ((14 / 28) + 1)) + 14)
[269] ['1', '14', '15', '15', '17'] -> ((14 / ((15 / 15) + 1)) + 17)
[270] ['1', '14', '15', '15', '30'] -> ((15 / ((15 / 30) + 1)) + 14)
[271] ['1', '13', '21', '21', '22'] -> ((22 / ((21 / 21) + 1)) + 13)
[273] ['1', '13', '22', '23', '23'] -> ((22 / ((23 / 23) + 1)) + 13)
[276] ['1', '14', '15', '28', '29'] -> (29 - (15 / ((28 / 14) + 1)))
[279] ['1', '15', '15', '16', '16'] -> ((16 / ((15 / 15) + 1)) + 16)
[283] ['1', '14', '20', '25', '25'] -> ((20 / ((25 / 25) + 1)) + 14)
[284] ['1', '14', '17', '23', '23'] -> ((14 / ((23 / 23) + 1)) + 17)
[286] ['1', '14', '17', '25', '25'] -> ((14 / ((25 / 25) + 1)) + 17)
[287] ['1', '14', '17', '26', '26'] -> ((14 / ((26 / 26) + 1)) + 17)
[288] ['1', '14', '17', '30', '30'] -> ((14 / ((30 / 30) + 1)) + 17)
[289] ['1', '15', '17', '17', '18'] -> ((18 / ((17 / 17) + 1)) + 15)
[290] ['1', '15', '15', '29', '30'] -> (29 - (15 / ((30 / 15) + 1)))
[291] ['1', '15', '18', '23', '23'] -> ((18 / ((23 / 23) + 1)) + 15)
[292] ['1', '15', '18', '25', '25'] -> ((18 / ((25 / 25) + 1)) + 15)
[296] ['1', '16', '16', '19', '30'] -> (30 / ((1 / 16) + (19 / 16)))
[297] ['1', '16', '16', '22', '22'] -> ((16 / ((22 / 22) + 1)) + 16)
[301] ['1', '15', '21', '21', '29'] -> (21 / ((15 / (29 - 21)) - 1))
[303] ['1', '16', '16', '26', '26'] -> ((16 / ((26 / 26) + 1)) + 16)
[304] ['1', '16', '16', '27', '27'] -> ((16 / ((27 / 27) + 1)) + 16)
[309] ['1', '15', '30', '30', '30'] -> (30 / ((15 / (30 + 30)) + 1))
[310] ['1', '16', '16', '17', '17'] -> ((16 / ((17 / 17) + 1)) + 16)
[314] ['1', '15', '25', '29', '30'] -> ((15 + 29) / ((25 / 30) + 1))
[321] ['1', '16', '17', '22', '29'] -> (16 / (1 - (17 / (22 + 29))))
[325] ['1', '16', '17', '27', '27'] -> (16 / ((1 / 27) + (17 / 27)))
[326] ['1', '16', '25', '25', '30'] -> (16 / (((25 + 25) / 30) - 1))
[335] ['1', '17', '18', '25', '30'] -> (30 / ((18 / (25 - 17)) - 1))
[336] ['1', '18', '18', '19', '29'] -> ((19 + 29) / ((18 / 18) + 1))
[349] ['1', '19', '19', '19', '29'] -> ((19 + 29) / ((19 / 19) + 1))
[350] ['1', '19', '19', '20', '28'] -> ((20 + 28) / ((19 / 19) + 1))
[351] ['1', '19', '29', '29', '29'] -> ((19 + 29) / ((29 / 29) + 1))
[352] ['1', '19', '29', '30', '30'] -> ((19 + 29) / ((30 / 30) + 1))
[353] ['1', '20', '20', '20', '28'] -> ((20 + 28) / ((20 / 20) + 1))
[354] ['1', '20', '20', '20', '30'] -> ((20 + 20) / ((20 / 30) + 1))
[355] ['1', '20', '23', '23', '28'] -> ((20 + 28) / ((23 / 23) + 1))
[360] ['1', '20', '30', '30', '30'] -> ((30 + 30) / ((30 / 20) + 1))
[361] ['1', '21', '26', '26', '27'] -> ((21 + 27) / ((26 / 26) + 1))
[362] ['1', '19', '20', '20', '29'] -> ((19 + 29) / ((20 / 20) + 1))
[365] ['1', '20', '28', '29', '29'] -> ((20 + 28) / ((29 / 29) + 1))
[366] ['1', '21', '22', '22', '27'] -> ((21 + 27) / ((22 / 22) + 1))
[375] ['2', '7', '7', '7', '7'] -> (((7 * 7) - (7 / 7)) / 2)
