5个数算24点唯一解 (范围1-20)
----------------------------------------
[73] ['1', '12', '12', '12', '20'] -> (12 / ((12 / (20 - 12)) - 1))
[74] ['1', '13', '13', '14', '19'] -> ((((13 / 13) + 1) * 19) - 14)
[75] ['2', '7', '7', '7', '7'] -> (((7 * 7) - (7 / 7)) / 2)
[76] ['1', '14', '15', '15', '17'] -> ((14 / ((15 / 15) + 1)) + 17)
[77] ['2', '5', '11', '13', '13'] -> ((((11 * 13) - 13) / 5) - 2)
[78] ['2', '7', '13', '13', '13'] -> ((((13 * 13) + 13) / 7) - 2)
[79] ['2', '9', '9', '9', '19'] -> ((((9 / 9) + 9) / 2) + 19)
[80] ['2', '9', '9', '17', '18'] -> (((17 - (9 / 18)) * 2) - 9)
[81] ['1', '13', '16', '16', '17'] -> (((16 * 17) + 16) / (13 - 1))
[82] ['1', '14', '14', '14', '16'] -> (((14 / (14 + 14)) + 1) * 16)
[83] ['3', '3', '13', '16', '16'] -> ((16 + 16) / ((13 / 3) - 3))
[84] ['2', '18', '18', '18', '18'] -> ((18 / ((18 / 18) + 2)) + 18)
[85] ['2', '18', '18', '19', '19'] -> ((18 / ((19 / 19) + 2)) + 18)
[86] ['2', '18', '19', '19', '20'] -> ((((19 / 19) + 20) * 2) - 18)
[87] ['2', '17', '17', '18', '18'] -> ((18 / ((17 / 17) + 2)) + 18)
[88] ['2', '17', '18', '18', '19'] -> (((18 * 19) + 18) / (17 - 2))
[89] ['3', '6', '11', '11', '19'] -> (((11 + 19) * 3) - (11 * 6))
[90] ['3', '7', '18', '20', '20'] -> (((7 / 3) - (20 / 20)) * 18)
[91] ['3', '11', '11', '17', '20'] -> ((((11 / 11) + 20) / 3) + 17)
[92] ['3', '10', '10', '11', '14'] -> ((11 * 14) - ((10 + 3) * 10))
[93] ['3', '10', '13', '13', '13'] -> ((10 - ((13 + 13) / 13)) * 3)
[94] ['3', '10', '14', '14', '15'] -> (((15 / 10) + (3 / 14)) * 14)
[95] ['3', '10', '15', '17', '17'] -> ((((10 + 17) * 15) + 3) / 17)
[96] ['3', '15', '16', '17', '17'] -> (((17 + 3) * (17 - 15)) - 16)
[97] ['3', '13', '17', '17', '18'] -> ((((17 / 17) + 13) * 3) - 18)
[98] ['3', '13', '19', '19', '19'] -> (((19 / 19) + 3) * (19 - 13))
[99] ['3', '12', '17', '19', '19'] -> ((19 + 19) / (3 - (17 / 12)))
[100] ['3', '14', '15', '15', '15'] -> (((14 - (15 / 15)) * 3) - 15)
[101] ['3', '14', '15', '19', '19'] -> (((14 - (19 / 19)) * 3) - 15)
[102] ['4', '4', '14', '17', '17'] -> (((17 * 4) + 4) / (17 - 14))
[103] ['4', '4', '19', '19', '19'] -> ((((19 + 19) / 19) + 4) * 4)
[104] ['1', '16', '17', '17', '17'] -> (((17 / (17 + 17)) + 1) * 16)
[105] ['1', '16', '17', '17', '20'] -> ((((17 / 17) + 1) * 20) - 16)
[106] ['1', '16', '17', '19', '19'] -> (((1 + 19) * (19 - 17)) - 16)
[107] ['1', '16', '19', '19', '19'] -> (((19 / (19 + 19)) + 1) * 16)
[108] ['1', '18', '18', '20', '20'] -> (((1 + 20) * (20 - 18)) - 18)
[109] ['3', '17', '20', '20', '20'] -> ((((20 / 20) + 20) / 3) + 17)
[110] ['4', '6', '6', '11', '15'] -> (6 / ((11 / 4) - (15 / 6)))
[111] ['4', '7', '7', '11', '11'] -> (((11 / 11) + 7) * (7 - 4))
[112] ['4', '7', '7', '13', '13'] -> (((13 / 13) + 7) * (7 - 4))
[113] ['4', '7', '11', '18', '18'] -> ((((18 / 18) + 4) * 7) - 11)
[114] ['4', '4', '13', '13', '13'] -> ((((13 + 13) / 13) + 4) * 4)
[115] ['4', '4', '13', '16', '17'] -> (((17 * 4) + 4) / (16 - 13))
[116] ['4', '9', '9', '11', '11'] -> ((((11 + 9) * 11) - 4) / 9)
[117] ['5', '5', '5', '5', '12'] -> (((5 / 5) + (5 / 5)) * 12)
[118] ['5', '5', '7', '13', '13'] -> (((13 * 13) - (5 / 5)) / 7)
[119] ['4', '15', '15', '19', '19'] -> ((((15 / 15) + 19) / 4) + 19)
[120] ['4', '17', '17', '19', '19'] -> ((((17 / 17) + 19) / 4) + 19)
[121] ['4', '13', '13', '15', '15'] -> ((((13 + 15) * 13) - 4) / 15)
[122] ['5', '5', '9', '14', '14'] -> (((14 / 14) + 5) * (9 - 5))
[123] ['5', '5', '9', '18', '18'] -> (((18 / 18) + 5) * (9 - 5))
[124] ['5', '5', '9', '19', '19'] -> (((19 / 19) + 5) * (9 - 5))
[125] ['5', '5', '10', '13', '19'] -> ((((10 * 19) - 5) / 5) - 13)
[126] ['4', '16', '16', '16', '17'] -> (((16 * 17) + 16) / (16 - 4))
[127] ['4', '16', '17', '17', '18'] -> (18 / ((17 / 17) - (4 / 16)))
[128] ['5', '5', '12', '19', '19'] -> (((19 / 19) + (5 / 5)) * 12)
[129] ['5', '9', '9', '9', '13'] -> (((9 / 9) + 5) * (13 - 9))
[130] ['5', '8', '13', '18', '18'] -> (((13 - 8) * 5) - (18 / 18))
[131] ['5', '10', '10', '10', '15'] -> (((15 - 10) * 5) - (10 / 10))
[132] ['5', '11', '11', '11', '11'] -> (((11 * 11) - (11 / 11)) / 5)
[133] ['5', '11', '11', '11', '16'] -> (((16 - 11) * 5) - (11 / 11))
[134] ['5', '11', '11', '13', '13'] -> (((11 * 11) - (13 / 13)) / 5)
[135] ['6', '6', '6', '7', '7'] -> (((6 - (7 / 7)) * 6) - 6)
[136] ['5', '13', '18', '18', '18'] -> (((18 - 13) * 5) - (18 / 18))
[137] ['5', '13', '20', '20', '20'] -> ((((20 - 13) * 20) - 20) / 5)
[138] ['5', '10', '15', '19', '19'] -> (((15 - 10) * 5) - (19 / 19))
[139] ['5', '10', '17', '17', '17'] -> (((17 / 5) - (17 / 17)) * 10)
[140] ['5', '11', '11', '16', '16'] -> (((11 * 11) - (16 / 16)) / 5)
[141] ['5', '11', '11', '18', '20'] -> (18 / ((11 / 11) - (5 / 20)))
[142] ['5', '11', '16', '19', '19'] -> (((16 - 11) * 5) - (19 / 19))
[143] ['5', '9', '13', '19', '19'] -> (((19 / 19) + 5) * (13 - 9))
[144] ['5', '9', '14', '14', '14'] -> (((14 - 9) * 5) - (14 / 14))
[145] ['5', '11', '14', '19', '19'] -> ((((11 * 19) - 19) / 5) - 14)
[146] ['5', '11', '16', '16', '16'] -> (((16 - 11) * 5) - (16 / 16))
[147] ['6', '6', '6', '14', '14'] -> (((6 - (14 / 14)) * 6) - 6)
[148] ['6', '6', '6', '17', '17'] -> (((6 - (17 / 17)) * 6) - 6)
[149] ['6', '6', '6', '19', '19'] -> (((6 - (19 / 19)) * 6) - 6)
[150] ['6', '6', '7', '7', '8'] -> (6 / ((7 / 7) - (6 / 8)))
[151] ['5', '16', '16', '17', '18'] -> (18 / ((17 / 16) - (5 / 16)))
[152] ['6', '6', '7', '13', '13'] -> (((13 * 13) - (6 / 6)) / 7)
[153] ['6', '6', '11', '17', '20'] -> (((11 * 6) + 6) / (20 - 17))
[154] ['5', '13', '13', '17', '18'] -> ((((13 + 18) * 13) + 5) / 17)
[155] ['5', '13', '13', '18', '20'] -> (18 / ((13 / 13) - (5 / 20)))
[156] ['6', '6', '14', '20', '20'] -> ((((6 * 6) + 20) / 14) + 20)
[157] ['6', '9', '9', '13', '19'] -> (((6 + 9) * 13) - (19 * 9))
[158] ['6', '7', '7', '13', '15'] -> (((13 / 7) + (15 / 7)) * 6)
[159] ['6', '7', '7', '16', '17'] -> ((((16 + 7) * 7) - 17) / 6)
[160] ['6', '6', '15', '16', '16'] -> (((15 * 16) - (16 * 6)) / 6)
[161] ['6', '6', '16', '16', '17'] -> (((16 * 17) + 16) / (6 + 6))
[162] ['6', '6', '17', '19', '20'] -> (((20 / (19 - 17)) - 6) * 6)
[163] ['6', '7', '15', '15', '15'] -> ((((15 * 15) - 15) / 7) - 6)
[164] ['6', '14', '14', '19', '19'] -> ((((14 + 19) * 14) - 6) / 19)
[165] ['7', '7', '7', '7', '12'] -> (((7 / 7) + (7 / 7)) * 12)
[166] ['7', '7', '7', '7', '14'] -> ((((7 * 7) * 7) - 7) / 14)
[167] ['7', '7', '11', '11', '18'] -> (((7 - (11 / 11)) * 7) - 18)
