[703] ['1', '7', '28', '42'] -> (28 / ((7 / 42) + 1))
[715] ['1', '7', '34', '48'] -> (7 / (1 - (34 / 48)))
[719] ['1', '8', '19', '33'] -> (33 / ((19 / 8) - 1))
[723] ['1', '8', '20', '30'] -> (8 / (1 - (20 / 30)))
[725] ['1', '8', '20', '48'] -> (20 / (1 - (8 / 48)))
[726] ['1', '8', '21', '28'] -> (8 / ((28 / 21) - 1))
[727] ['1', '8', '21', '39'] -> (39 / ((21 / 8) - 1))
[729] ['1', '8', '22', '33'] -> (8 / (1 - (22 / 33)))
[730] ['1', '8', '22', '42'] -> (42 / ((22 / 8) - 1))
[732] ['1', '8', '23', '45'] -> (45 / ((23 / 8) - 1))
[734] ['1', '8', '26', '39'] -> (8 / (1 - (26 / 39)))
[736] ['1', '8', '27', '36'] -> (8 / ((36 / 27) - 1))
[738] ['1', '8', '28', '42'] -> (8 / (1 - (28 / 42)))
[739] ['1', '8', '28', '48'] -> (28 / ((8 / 48) + 1))
[742] ['1', '8', '33', '44'] -> (8 / ((44 / 33) - 1))
[743] ['1', '8', '36', '48'] -> (8 / ((48 / 36) - 1))
[746] ['1', '9', '10', '16'] -> (9 / (1 - (10 / 16)))
[749] ['1', '9', '12', '42'] -> (42 / ((9 / 12) + 1))
[751] ['1', '9', '16', '27'] -> (16 / (1 - (9 / 27)))
[762] ['1', '9', '21', '32'] -> (32 / ((21 / 9) - 1))
[764] ['1', '9', '27', '32'] -> (32 / ((9 / 27) + 1))
[766] ['1', '9', '27', '48'] -> (48 / ((27 / 9) - 1))
[769] ['1', '9', '30', '36'] -> (30 / ((9 / 36) + 1))
[771] ['1', '9', '32', '44'] -> (9 / ((44 / 32) - 1))
[776] ['1', '10', '10', '48'] -> (48 / ((10 / 10) + 1))
[777] ['1', '10', '12', '15'] -> (12 / ((15 / 10) - 1))
[778] ['1', '10', '12', '17'] -> (10 / ((17 / 12) - 1))
[779] ['1', '10', '12', '44'] -> (44 / ((10 / 12) + 1))
[783] ['1', '12', '14', '19'] -> (14 / ((19 / 12) - 1))
[789] ['1', '12', '16', '36'] -> (16 / (1 - (12 / 36)))
[790] ['1', '12', '16', '42'] -> (42 / ((12 / 16) + 1))
[792] ['1', '12', '18', '27'] -> (12 / ((27 / 18) - 1))
[794] ['1', '12', '18', '40'] -> (40 / ((12 / 18) + 1))
[797] ['1', '12', '20', '30'] -> (12 / ((30 / 20) - 1))
[807] ['1', '12', '28', '32'] -> (32 / ((28 / 12) - 1))
[810] ['1', '12', '29', '34'] -> (34 / ((29 / 12) - 1))
[812] ['1', '12', '30', '36'] -> (36 / ((30 / 12) - 1))
[814] ['1', '12', '30', '45'] -> (12 / ((45 / 30) - 1))
[815] ['1', '12', '30', '48'] -> (30 / ((12 / 48) + 1))
[821] ['1', '10', '16', '39'] -> (39 / ((10 / 16) + 1))
[822] ['1', '10', '18', '40'] -> (18 / (1 - (10 / 40)))
[836] ['1', '10', '25', '36'] -> (36 / ((25 / 10) - 1))
[841] ['1', '10', '28', '48'] -> (10 / (1 - (28 / 48)))
[842] ['1', '10', '29', '48'] -> (29 / ((10 / 48) + 1))
[844] ['1', '10', '30', '32'] -> (32 / ((10 / 30) + 1))
